Index,Card,Chinese Name,Japanese Name,Upright Meaning,Reversed Meaning
63,King of Swords,寶劍國王,ソードのキング,"Authority, intellect, truth","Rigidity, misuse of power"
64,Ace of Pentacles,錢幣王牌,ペンタクルのエース,"Opportunity, prosperity, foundation","Missed chance, instability"
65,Two of Pentacles,錢幣二,ペンタクルの2,"Balance, adaptability, priorities","Over-commitment, imbalance"
66,Three of Pentacles,錢幣三,ペンタクルの3,"Collaboration, craftsmanship, mastery","Lack of teamwork, delays"
67,Four of Pentacles,錢幣四,ペンタクルの4,"Stability, conservation, security","Greed, rigidity, holding on"
68,Five of Pentacles,錢幣五,ペンタクルの5,"Hardship, insecurity, lack","Recovery, resilience, support"
69,Six of Pentacles,錢幣六,ペンタクルの6,"Giving, receiving, generosity","Strings attached, inequity"
70,Seven of Pentacles,錢幣七,ペンタクルの7,"Perseverance, sustainable results","Lack of long-term plan"
71,Eight of Pentacles,錢幣八,ペンタクルの8,"Skill, mastery, apprenticeship","Perfectionism, misdirected effort"
72,Nine of Pentacles,錢幣九,ペンタクルの9,"Abundance, self-sufficiency","Over-investment, materialism"
73,Ten of Pentacles,錢幣十,ペンタクルの10,"Wealth, legacy, security","Financial instability, lack of stability"
74,Page of Pentacles,錢幣侍者,ペンタクルのペイジ,"Opportunity, learning, manifestation","Procrastination, lack of progress"
75,Knight of Pentacles,錢幣騎士,ペンタクルのナイト,"Hard work, routine, reliability","Boredom, stagnation"
76,Queen of Pentacles,錢幣皇后,ペンタクルのクイーン,"Nurturing, practicality, provider","Work-life conflict, self-care focus"
77,King of Pentacles,錢幣國王,ペンタクルのキング,"Wealth, leadership, discipline","Stubbornness, financial ineptitude"
